Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-09-09,26531.2,27600.0,26309.0,26900.0,53.21312387,1439447.23167,27050.605696191
2018-09-08,27379.77889,27380.0,26500.0,26531.00023,55.07766239,1483940.1702939,26942.686125388
2018-09-07,27775.00001,27910.0,27101.0,27222.1,63.63753279,1747844.0899105,27465.616803188
2018-09-06,28300.0,29000.0,26850.0,27775.00001,248.24078785,6793995.9437982,27368.572274688
2018-09-05,30799.0,30998.0,28300.0,28300.0,250.94961174,7425127.4939924,29588.121067449
2018-09-04,30060.0,31020.0,29900.1,30698.0,197.21542965,6035332.8339868,30602.741604436
2018-09-03,29051.0,30540.0,28800.0,30060.0,244.7749811,7306142.0617292,29848.402107503
2018-09-02,29102.003,29299.5,28900.0,29198.97,33.66855613,978503.11432628,29062.817857354
2018-09-01,29038.9895,29348.0,28780.5,29101.002,55.76473368,1621061.8656078,29069.66031453
2018-08-31,28815.0,29399.0,28549.0,29039.99,118.47397655,3422048.1980756,28884.387084208
2018-08-30,28900.01,29100.0,28234.0,28815.0,122.86263396,3510279.7349352,28570.767383011
2018-08-29,28800.0,29500.0,28218.0,29066.89998,175.5533094,5075416.8605254,28910.972273163
2018-08-28,27689.999,29235.0,27530.01,28940.0,225.90344153,6476286.5331147,28668.383665393
2018-08-27,26828.98999,27750.0,26645.0,27698.9,121.36910102,3307407.211957,27250.817416964
2018-08-26,27052.0,27200.0,26600.0,26828.97999,32.2334969,865140.16015967,26839.786041324
2018-08-25,27174.93,27456.6,26903.44,27100.0,52.13298124,1417532.068598,27190.696462806
2018-08-24,26351.01,27275.0,26275.0,27016.0,109.51476008,2933695.9973074,26788.133354485
2018-08-23,25570.00251,26782.74,25549.99999,26350.03999,84.70247747,2216317.9368525,26165.91631145
2018-08-22,26000.00016,27500.0,25568.99999,25592.31,180.81486128,4797263.7881882,26531.357844306
2018-08-21,25515.03002,26100.0,25510.0,26096.00014,82.22212048,2123105.1970398,25821.581645492
2018-08-20,25702.10406,25950.0,25507.0,25677.71927,85.69232692,2201925.3246472,25695.711667426
2018-08-19,25780.0,25899.0,25561.0,25898.86,15.06623091,387366.32899281,25710.898187263
2018-08-18,25990.0,26000.0,25451.0,25780.0,41.11478202,1060008.4388088,25781.68694396
2018-08-17,25280.11005,25990.0,25195.89003,25861.00001,85.49464999,2196396.0958211,25690.450760112
2018-08-16,25072.0505,25600.0,24717.978,25435.99899,103.63078447,2620016.6794827,25282.223741548
2018-08-15,24596.99993,25997.99942,24432.0,25200.0,178.2756517,4523220.8437132,25372.061751455
2018-08-14,25000.0,25600.0,23999.0,24597.97897,261.92548754,6404510.9411826,24451.652266962
2018-08-13,25160.0,25793.0,24660.0,24930.0,93.07823089,2338858.2440595,25127.875999529
2018-08-12,25068.0,25400.0,24900.0,25160.0,15.25542529,382873.03470135,25097.499900729
2018-08-11,24800.0,25500.0,24450.0,25068.0,39.22634358,976800.51225053,24901.645759014
2018-08-10,25599.98865,26100.0,24499.99,24819.0,164.06493274,4124643.5138058,25140.311490831
2018-08-09,25060.9754,25988.0,24500.0,25600.0,187.49618527,4742497.2049524,25293.833035179
2018-08-08,26000.142,26139.95993,24100.0,25400.0,334.01784395,8365626.923567,25045.449143188
2018-08-07,26462.50593,27300.0,25612.0,26140.0,184.55489831,4902995.9552868,26566.598882958
2018-08-06,27368.99993,28000.0,26200.0,26770.0,135.24422421,3616001.9912218,26736.83118332
2018-08-05,27060.04003,27600.0,26875.1,27368.99993,40.43110101,1098192.2746253,27162.06700267
2018-08-04,28450.0,28799.99999,26838.0,27060.0,97.91241772,2700623.0296692,27582.027821968
2018-08-03,29021.0,29021.0,28053.0,28588.91,129.6299866,3691769.7555634,28479.288260325
2018-08-02,28947.38,29780.0,28600.0,29006.0,94.63555219,2751617.8564309,29075.942315066
2018-08-01,29448.77,29559.9905,28609.7325,28904.07003,132.11124767,3831984.279192,29005.738321115
2018-07-31,30625.4,30910.0029,29200.0,29490.11,152.16636788,4523312.8879615,29726.101443971
2018-07-30,30900.0,31000.0,30000.0,30625.3,108.95627278,3339955.5973649,30654.091886098
2018-07-29,30868.0,30998.98,30521.0,30720.0,23.62553669,727352.67332366,30786.715360905
2018-07-28,30510.02,30900.0,30510.01,30868.99999,32.74651571,1003968.5094561,30658.788811216
2018-07-27,29854.0,31150.0,29200.0,30510.01,150.28554478,4536359.7123292,30184.937074087
2018-07-26,30791.99,31300.0,29149.04,29854.0,179.18500503,5471670.1599781,30536.428866143
2018-07-25,31800.02,31989.0,30100.0,30792.99,200.36903643,6184509.7088124,30865.595897463
2018-07-24,29698.0,31900.0,29600.0,31899.99999,271.98412842,8443668.4568185,31044.710240517
2018-07-23,28471.1,29842.0,28303.94563,29625.00001,158.2036962,4637466.5769666,29313.263143384
2018-07-22,28597.49,28900.0,28471.1,28639.0,29.06878738,834679.73311531,28713.950884982
2018-07-21,28572.83,28798.0,28001.0,28597.49,42.16740993,1199227.2567263,28439.670795932
2018-07-20,28984.98,29138.03167,28268.0,28572.83,116.60463289,3351536.4615797,28742.738418819
2018-07-19,28306.0001,29199.99997,28000.0,28813.06,105.66543223,3041648.869958,28785.656820456
2018-07-18,27948.99,29323.0,27500.0,28306.0001,263.80891267,7510890.3804846,28470.950069379
2018-07-17,25871.80001,28497.0,25601.0,27949.0,313.73471488,8519342.9561651,27154.607227395
2018-07-16,24989.93799,26000.0,24550.0,25871.00001,141.51979279,3619614.4338285,25576.736387677
2018-07-15,24589.0,25000.0,24366.0,24780.32188,29.91254572,743042.16809482,24840.485829931
2018-07-14,24356.09253,24599.82751,24305.0,24370.0156,15.80775273,386259.45552895,24434.811331272
2018-07-13,24415.00034,24600.0,24251.00101,24356.0145,87.11270166,2128485.7107266,24433.701058131
2018-07-12,25200.0,25281.0,23801.009,24398.09999,148.81441321,3627422.7530983,24375.480001251
2018-07-11,25097.99999,25494.32156,24730.09898,25200.0,96.47251538,2411950.2553309,25001.423937485
2018-07-10,26145.0,26300.0,24717.29,25000.0,147.89165183,3736690.6802635,25266.407089419
2018-07-09,25900.01001,26500.0,25900.01001,26146.0,85.76050305,2245081.2672772,26178.499279187
2018-07-08,26250.0,26280.0,25900.0,25999.99,20.19763449,527929.72639385,26138.195869186
2018-07-07,25900.0,26297.77,25732.0,26250.0,36.51562702,948368.54869557,25971.580555803
2018-07-06,25938.0,26120.0,25701.0,25900.0,71.41844296,1852983.1707772,25945.443417395
2018-07-05,26000.0,26180.0,25520.0,25938.0,92.48238909,2397455.3388419,25923.371600066
2018-07-04,25589.5129,26453.0,25000.0,26000.0,146.7579897,3797777.9711588,25877.827700707
2018-07-03,25800.3,26190.0,25480.0,25700.0,76.25058444,1969004.353668,25822.809990622
2018-07-02,24799.9902,26388.99999,24500.0,25800.3,148.59029588,3805923.0465021,25613.537034584
2018-07-01,24849.0,24900.0,24321.5,24799.99999,36.72154585,906495.37652036,24685.654036004
2018-06-30,24237.0,25000.0,24040.007,24849.0,69.84540463,1719884.0790577,24624.155134738
2018-06-29,23395.9724,24251.13,22802.002,24043.44123,99.84469584,2339797.1583328,23434.366128796
2018-06-28,24029.99999,24199.0,22646.98675,23129.364,92.26320049,2186821.0899699,23701.986039461
2018-06-27,23999.9898,24150.0,23589.24,24030.0,57.50386184,1373658.3626484,23888.106271375
2018-06-26,24299.99999,26499.0,23507.00001,23999.9998,131.5226762,3204054.9431475,24361.23591551
2018-06-25,23800.00004,24500.0,23450.00001,24132.75023,69.47438494,1667549.1054796,24002.35866672
2018-06-24,24399.14582,24399.14582,22780.33,23650.1,60.02941677,1403216.8949001,23375.4877259
2018-06-23,23690.0,24600.0,23505.1,24399.2969,48.814659,1168727.7078072,23942.146309108
2018-06-22,25803.3,26155.0,23100.0,23690.0,185.87037084,4507845.3484743,24252.630088928
2018-06-21,26146.9899,26211.0,25700.0,25803.0,68.55026086,1781632.604815,25990.165208177
2018-06-20,26111.5,26419.99998,25577.0,26000.0,69.1927847,1799559.1632971,26007.901995844
2018-06-19,26350.0,26449.99998,26000.0,26200.0,77.81423761,2042422.0412755,26247.40798094
2018-06-18,25589.99632,26499.0,25000.0,26207.1,113.91567656,2931348.4985074,25732.617204476
2018-06-17,25595.99999,25649.0,25302.0,25589.99632,10.94168479,278806.8392308,25481.161684132
2018-06-16,25448.99993,25800.00026,25115.0,25595.99999,36.42126807,924961.25428264,25396.184792493
2018-06-15,26438.975,26438.975,25100.0,25140.0,85.3548388,2185569.8728911,25605.693872988
2018-06-14,24070.7,26660.0,24000.1,26475.55,166.71929031,4220174.7420083,25313.056060647
2018-06-13,25349.0,25350.0,23651.33,24070.00002,195.91171767,4802860.8701053,24515.434437645
2018-06-12,26949.99999,26990.0,25005.0,25349.0,165.65694467,4334001.0299982,26162.507334853
2018-06-11,26890.99983,27798.0,26000.0,26601.00001,202.28200983,5389644.8472817,26644.212462646
2018-06-10,29056.0,29469.0,26440.0,26451.0,144.31572548,4001252.1183063,27725.683427762
2018-06-09,29160.0,29999.0,29051.1,29056.0,46.71792565,1371875.8779655,29365.085433016
2018-06-08,29970.00999,30304.0,29151.0,29160.0,107.29399134,3181635.2203805,29653.433343702
2018-06-07,29589.98,30399.99,29365.00001,29970.00999,117.75414815,3526811.4291795,29950.634305357
2018-06-06,29090.0,29700.0,28920.0,29589.98,78.14131499,2290033.996205,29306.315058789
2018-06-05,28750.17051,29301.0,28215.0,29000.0,86.26277228,2492240.6638362,28891.265582639
2018-06-04,29085.00006,29322.71999,28301.0,28750.04018,77.45919762,2222924.6823428,28698.008120973
2018-06-03,28999.5555,29387.0,28808.00001,29080.00003,31.18832135,910255.45425346,29185.778998441
2018-06-02,28578.83987,29278.0,28315.00001,28850.0,39.27700921,1135786.6021892,28917.339304441
2018-06-01,28248.98999,28650.0,28015.0,28383.00001,55.45574885,1569314.4960326,28298.499769202
2018-05-31,28017.99999,28599.0,27780.0,28248.96998,51.07358786,1438759.8232672,28170.329979774
2018-05-30,28399.99,29000.0,27700.00001,28017.99999,76.28090099,2160432.8882856,28322.068306047
2018-05-29,27000.0,28776.1654,26307.0,28399.99999,104.89112254,2908006.6854807,27724.049615083
2018-05-28,27598.36879,27805.0,27000.0,27000.0,55.16602196,1510768.981745,27385.860500155
2018-05-27,27788.98999,27990.0,27260.0,27350.07999,25.52806642,702400.61656748,27514.838178938
2018-05-26,28289.99,28395.0,27435.0,27789.57481,20.61628451,575329.15272681,27906.539243177
2018-05-25,28710.0,28710.0,27751.0,28150.00059,67.88554128,1909470.724536,28127.797002609
2018-05-24,28021.00001,28940.0,27228.0,28650.0,127.75312285,3591043.6070625,28109.243257238
2018-05-23,29775.05959,30289.0,27501.0,28021.0,185.54205905,5333384.5252363,28744.881632466
2018-05-22,31472.1,31500.0,29400.0,29800.0,96.26742069,2945931.5411174,30601.542245573
